Secteur,Taille_Entreprise,Anciennete_Annees,Ratio_Liquidite_Generale,Ratio_Liquidite_Reduite,Ratio_Endettement,Ratio_Capacite_Remboursement,Taux_Endettement_Net,ROE,ROA,Marge_Nette,Marge_Brute,Chiffre_Affaires_Log,Croissance_CA,Ratio_Fonds_Propres,Ratio_Tresorerie_Nette,Delai_Paiement_Clients_Jours,Delai_Paiement_Fournisseurs_Jours,Ratio_Couverture_Interets,Score_Altman_Z,Nb_Incidents_Paiement_12M,Nb_Credits_En_Cours,Defaut_Paiement
Transport,PME,16,2.36,1.11,1.15,5.58,1.23,0.458,-0.021,-0.039,0.743,11.55,0.099,0.29,0.03,35,82,4.93,0.94,1,0,1
BTP,TPE,8,1.56,0.62,1.51,13.96,0.06,-0.191,0.083,0.347,0.108,15.96,0.476,0.08,0.33,93,85,13.4,2.86,0,1,0
Agriculture,ETI,1,2.58,0.56,1.02,1.45,1.31,0.098,-0.031,0.021,0.748,12.51,-0.291,0.54,0.42,84,53,8.15,1.69,0,0,1
Transport,TPE,44,0.94,2.1,0.26,8.47,0.77,-0.129,-0.056,-0.173,0.58,13.34,0.392,0.45,-0.02,19,62,1.86,2.19,0,4,1
Services,PME,5,3.15,0.3,1.95,9.07,0.6,-0.252,0.12,-0.02,0.297,14.71,-0.229,0.39,0.36,81,51,4.44,4.7,5,0,1
Agriculture,PME,3,1.22,1.16,1.08,9.96,0.75,-0.04,-0.11,0.119,0.343,10.27,-0.363,0.73,-0.15,57,74,15.98,2.08,1,1,0
Agriculture,PME,1,1.48,0.59,1.27,4.21,1.0,-0.185,-0.124,0.045,0.606,10.92,-0.214,0.18,-0.28,30,88,17.97,2.14,1,2,1
Transport,TPE,4,0.49,2.22,0.55,5.79,0.02,0.268,0.018,-0.036,0.501,16.86,0.365,0.06,0.06,113,18,6.02,1.44,0,5,1
Commerce,TPE,40,0.66,1.48,1.02,12.73,1.31,0.127,0.174,-0.121,0.554,14.29,0.005,0.1,0.61,87,37,4.21,4.82,1,1,0
Services,PME,35,1.95,0.73,0.92,3.33,0.67,-0.185,0.1,0.291,0.342,18.65,0.473,0.22,0.87,49,28,1.02,2.55,0,2,0
Transport,TPE,32,1.16,1.36,0.24,12.49,0.51,-0.293,0.04,0.398,0.416,16.95,0.125,0.07,0.19,97,19,18.98,3.07,3,2,0
Services,PME,42,2.97,1.88,0.3,8.66,0.21,0.347,0.105,-0.002,0.792,10.08,-0.378,0.43,0.46,57,80,13.84,2.54,0,6,0
Services,TPE,34,0.35,2.4,1.69,11.55,0.66,-0.159,0.014,0.029,0.21,16.17,0.317,0.29,-0.35,112,38,19.16,1.64,0,3,1
Agriculture,PME,43,1.51,0.71,0.56,10.85,0.74,0.185,0.271,0.171,0.363,10.94,-0.29,0.19,0.86,53,32,17.35,4.15,0,7,0
BTP,PME,25,1.38,2.24,0.47,3.51,0.61,-0.03,-0.125,0.231,0.269,17.81,0.389,0.61,0.35,24,41,7.14,0.63,0,6,0
Services,TPE,10,0.36,2.35,1.06,8.75,1.02,0.168,0.153,0.035,0.624,19.92,-0.232,0.2,0.67,88,38,2.7,3.61,3,4,0
Tech,PME,21,0.7,2.31,1.56,13.08,0.63,-0.047,0.251,0.343,0.623,15.31,-0.055,0.57,0.69,34,43,10.23,3.17,2,3,0
Agriculture,TPE,46,1.62,1.66,0.22,6.77,1.44,-0.23,0.212,0.136,0.269,16.83,0.361,0.31,-0.12,15,25,1.02,1.15,0,5,0
Commerce,TPE,39,1.88,1.65,1.2,14.52,0.9,-0.122,-0.067,0.07,0.111,12.37,0.554,0.43,0.29,20,32,3.42,1.25,3,1,1
BTP,Grande Entreprise,27,1.59,1.13,0.33,7.06,1.21,-0.15,-0.017,0.188,0.059,14.38,-0.029,0.75,0.94,67,18,5.05,3.47,0,3,0
Tech,PME,27,2.0,1.93,0.17,2.57,0.16,0.042,0.173,0.372,0.371,18.56,0.429,0.08,-0.37,60,47,13.48,1.9,1,5,0
Tech,ETI,2,2.2,1.42,0.2,6.15,0.6,0.227,-0.112,0.277,0.358,11.67,-0.209,0.43,0.52,80,56,10.44,1.7,1,2,1
Commerce,TPE,41,0.33,1.76,1.68,14.3,0.51,-0.089,0.215,-0.176,0.791,12.66,0.407,0.69,0.94,52,46,6.4,0.77,1,1,1
BTP,PME,48,1.79,1.19,0.32,5.14,0.85,-0.29,0.174,-0.001,0.402,14.45,0.257,0.49,-0.05,47,65,11.51,3.95,0,3,0
Agriculture,ETI,13,3.38,1.88,0.19,13.09,1.29,0.115,0.178,0.082,0.242,17.12,-0.207,0.26,0.79,81,18,2.94,4.47,5,0,0
Industrie,PME,9,1.96,2.1,0.93,13.28,0.12,0.185,-0.105,-0.011,0.718,13.76,-0.097,0.35,0.9,114,34,15.24,4.19,5,5,1
BTP,PME,36,2.47,0.54,1.7,5.58,0.11,0.47,0.173,0.22,0.418,19.28,-0.268,0.56,0.62,91,81,14.38,2.6,5,5,0
Commerce,PME,22,1.3,2.12,0.6,1.71,1.28,0.172,0.156,0.296,0.499,10.94,-0.017,0.72,-0.15,49,82,4.72,2.9,3,4,0
Tech,PME,42,2.78,1.44,0.9,11.01,0.32,0.077,0.224,0.239,0.122,13.71,-0.196,0.08,0.0,93,76,12.32,1.59,2,7,1
Agriculture,Grande Entreprise,26,2.77,2.14,0.18,5.02,1.0,0.159,-0.131,0.394,0.337,17.09,0.244,0.1,-0.45,59,72,10.31,1.28,2,0,1
BTP,ETI,12,1.97,1.19,0.95,11.85,0.81,0.442,-0.14,-0.036,0.758,12.26,0.595,0.29,0.75,36,61,1.69,4.2,2,1,1
Industrie,Grande Entreprise,17,3.42,1.07,1.2,6.92,1.25,0.363,0.018,0.325,0.492,16.56,-0.388,0.22,0.77,82,89,5.92,4.09,3,3,0
Industrie,TPE,14,0.7,2.3,1.18,7.54,0.19,-0.042,-0.083,0.26,0.308,11.64,0.141,0.25,0.45,31,73,19.99,4.0,0,2,1
Services,ETI,14,0.35,0.78,0.73,11.78,0.19,-0.11,0.101,0.017,0.519,10.56,0.174,0.22,0.03,19,20,2.44,2.59,2,3,1
Services,Grande Entreprise,34,2.76,2.14,0.7,6.04,0.84,-0.09,0.263,0.24,0.733,11.21,0.514,0.2,-0.38,99,54,10.38,4.39,0,7,0
Transport,TPE,20,2.88,1.31,0.3,6.93,1.42,0.104,0.026,-0.138,0.255,19.3,0.106,0.15,0.63,71,37,17.06,4.67,0,6,0
Commerce,TPE,11,0.68,1.38,0.8,5.95,0.62,0.295,0.23,0.274,0.429,15.52,0.144,0.75,0.59,102,66,6.36,1.98,0,7,0
BTP,ETI,16,1.15,0.91,0.29,5.83,0.49,0.103,-0.15,0.119,0.769,17.96,0.072,0.16,0.87,109,18,5.58,1.51,1,1,0
BTP,PME,31,0.36,1.52,1.56,8.13,0.91,-0.246,-0.074,-0.025,0.179,13.33,-0.131,0.2,0.6,54,51,17.87,2.59,5,1,1
Transport,ETI,6,1.24,0.95,1.94,12.23,1.4,0.279,-0.136,0.193,0.59,15.93,-0.344,0.23,0.74,44,56,6.44,1.31,0,1,1
Tech,TPE,19,2.77,0.29,1.94,5.75,1.26,0.345,-0.002,0.185,0.511,14.95,0.009,0.75,0.62,56,58,13.2,4.48,0,1,1
Tech,ETI,37,1.96,0.83,1.74,8.1,1.49,-0.068,0.259,-0.074,0.56,19.46,-0.347,0.62,0.45,21,56,14.94,2.02,3,6,1
Transport,TPE,4,1.41,0.21,1.24,10.23,0.03,0.231,-0.106,-0.182,0.313,17.48,0.15,0.64,0.14,85,43,15.88,3.09,0,5,1
Tech,TPE,47,1.49,2.45,1.43,4.41,0.17,0.041,0.123,0.06,0.285,17.31,-0.093,0.13,0.85,105,33,19.9,3.18,3,3,0
Services,TPE,4,0.3,2.42,0.64,4.52,0.91,0.411,0.053,0.142,0.563,10.46,0.134,0.68,0.48,102,46,16.16,2.82,0,0,0
BTP,ETI,20,1.26,1.11,1.3,14.03,1.23,0.376,0.272,0.326,0.212,15.5,-0.266,0.36,0.1,33,58,13.31,1.2,0,2,0
Transport,PME,10,2.37,1.88,0.97,10.99,0.43,0.12,-0.095,0.357,0.365,14.67,0.533,0.25,-0.37,55,69,17.96,4.96,2,2,0
BTP,PME,24,3.42,1.0,1.02,8.87,0.36,0.253,-0.055,0.117,0.191,19.28,0.495,0.48,-0.06,48,19,18.16,1.28,1,4,0
Industrie,PME,35,3.01,1.74,1.54,9.89,1.18,0.407,-0.137,0.252,0.056,12.57,-0.21,0.67,0.32,36,60,19.48,3.88,1,5,1
Services,ETI,26,0.38,2.05,0.64,0.92,0.08,0.097,0.045,0.064,0.778,12.7,-0.057,0.63,-0.09,66,59,15.64,4.06,3,1,0
Agriculture,PME,37,3.18,2.38,0.7,9.46,0.55,-0.049,-0.025,0.248,0.374,14.11,0.213,0.72,-0.17,105,35,4.3,1.15,0,7,0
Services,ETI,38,2.81,1.12,1.86,7.89,0.76,0.303,0.241,-0.077,0.777,12.43,-0.304,0.75,0.29,20,36,14.34,4.7,0,1,0
Transport,PME,21,2.8,2.0,0.21,8.41,0.84,-0.124,0.122,0.023,0.155,11.29,-0.045,0.23,-0.25,88,44,1.97,2.69,0,1,0
Agriculture,PME,40,1.77,0.81,1.02,5.71,1.09,0.011,0.126,0.181,0.491,18.57,-0.149,0.37,0.7,109,37,6.7,3.33,0,7,0
Industrie,PME,39,1.57,2.48,1.83,1.68,0.53,0.393,0.089,-0.189,0.201,15.58,0.516,0.06,0.23,39,19,2.76,3.39,0,5,0
Transport,PME,21,1.27,0.26,1.26,3.3,0.92,0.28,-0.109,0.233,0.643,18.61,0.453,0.71,0.36,80,77,19.02,2.77,5,0,0
Commerce,ETI,10,0.51,1.59,1.14,14.29,0.88,0.023,0.05,0.301,0.638,18.31,0.18,0.17,-0.28,24,73,7.11,1.14,1,1,1
BTP,PME,38,1.03,1.72,0.57,6.43,0.82,-0.128,0.3,0.039,0.134,12.82,0.12,0.7,-0.01,88,66,14.41,3.88,5,4,0
Industrie,TPE,46,1.09,1.78,0.75,7.27,0.96,-0.015,0.226,0.069,0.734,15.48,0.531,0.3,0.12,40,79,11.64,3.12,1,4,0
BTP,ETI,4,1.85,0.48,1.72,1.26,0.39,-0.073,0.252,0.311,0.196,10.83,0.532,0.33,0.71,19,53,2.6,1.03,0,0,1
Tech,PME,45,2.69,2.36,1.16,1.04,0.13,-0.159,0.22,0.265,0.51,19.15,0.569,0.08,0.66,100,17,11.45,3.65,1,5,0
Commerce,PME,20,1.82,0.62,1.08,10.9,0.18,0.295,-0.104,-0.027,0.789,14.04,-0.275,0.3,-0.17,82,56,13.39,3.66,0,1,0
Commerce,Grande Entreprise,17,0.49,1.63,0.29,8.3,0.34,-0.098,-0.048,-0.006,0.712,13.94,-0.239,0.72,0.42,112,85,17.69,2.97,5,6,1
Industrie,PME,7,3.36,0.71,0.13,7.88,0.75,0.063,-0.149,0.207,0.767,13.03,0.277,0.07,-0.13,85,41,1.87,0.91,2,3,1
Commerce,TPE,4,3.32,0.91,1.93,4.03,1.26,0.009,-0.013,0.138,0.307,14.61,0.141,0.35,0.98,64,42,6.26,2.09,1,3,1
Agriculture,Grande Entreprise,29,2.81,1.46,0.82,11.3,1.05,0.486,-0.101,-0.103,0.129,12.52,-0.382,0.07,0.93,31,68,14.0,0.73,1,2,1
Commerce,PME,14,3.47,1.16,1.25,2.94,1.18,0.013,0.063,-0.014,0.191,13.75,-0.338,0.33,0.34,25,29,1.17,2.65,3,0,1
